,Cloudiness,Date,Humidity,Lat,Lng,Max temp,Wind speed,city,country_code
0,48,1524264333,84,65.96,78.37,-13.83,1.46,Urengoy,RU
1,88,1524264334,98,-3.4,37.67,19.45,0.91,Taveta,KE
2,44,1524261600,94,-4.62,55.45,25.0,1.5,Victoria,SC
3,0,1524264334,80,34.74,60.78,4.3,1.06,Taybad,IR
4,92,1524264334,87,45.41,141.67,7.05,11.61,Wakkanai,JP
5,0,1524264334,68,71.98,102.47,-15.06,2.34,Khatanga,RU
6,64,1524264334,92,32.65,110.78,18.72,1.26,Shiyan,CN
7,92,1524264335,61,39.94,119.59,16.7,1.59,Qinhuangdao,CN
8,0,1524264335,77,22.03,88.06,27.8,5.29,Haldia,IN
9,0,1524264335,68,55.03,22.03,14.17,7.74,Neman,RU
10,0,1524264335,77,49.15,35.87,4.82,2.16,Sakhnovshchyna,UA
11,56,1524264335,57,59.17,61.86,-5.73,2.11,Sosva,RU
12,75,1524261600,93,63.84,-22.43,6.0,2.1,Grindavik,IS
13,0,1524264336,27,28.06,67.98,11.65,1.46,Garhi Khairo,PK
14,0,1524263400,87,50.11,1.83,15.0,1.5,Abbeville,FR
15,48,1524264336,80,64.57,143.24,-5.31,1.21,Ust-Nera,RU
16,0,1524264336,68,-27.46,23.43,6.17,1.04,Kuruman,ZA
17,90,1524261600,50,52.98,-122.49,11.0,4.1,Quesnel,CA
18,8,1524264337,98,-6.76,38.13,22.37,1.01,Ngerengere,TZ
19,0,1524264337,57,45.41,79.91,0.65,2.26,Sarkand,KZ
20,0,1524264337,94,72.79,-56.15,-8.78,5.34,Upernavik,GL
21,64,1524264337,100,-16.48,-151.75,27.42,4.31,Faanui,PF
22,1,1524261360,34,44.09,-87.66,11.0,4.1,Manitowoc,US
23,8,1524264338,100,-22.12,14.28,16.4,2.69,Henties Bay,NA
24,75,1524263280,67,63.75,-68.52,-8.0,8.7,Iqaluit,CA
25,44,1524264338,95,-7.96,145.78,25.45,1.14,Kerema,PG
26,40,1524261600,36,51.47,-109.16,17.0,7.2,Kindersley,CA
27,88,1524264338,81,35.54,106.68,11.42,1.29,Pingliang,CN
28,92,1524264339,100,46.45,135.83,9.72,1.61,Vostok,RU
29,20,1524263400,94,-8.71,116.27,24.0,1.0,Praya,ID
30,20,1524263400,88,-6.02,106.05,26.0,1.5,Cilegon,ID
31,0,1524264339,21,13.47,14.72,21.27,1.26,Bol,TD
32,0,1524263400,100,52.11,16.12,15.0,1.5,Wolsztyn,PL
33,75,1524261300,83,32.38,-64.68,22.0,5.1,Saint George,BM
